answer;question
Лайт;Оптика изучает что?
Дезоксирибонуклеиновая кислота;Что означает ДНК?
Миссия Аполлона-15;Какая лунная миссия Аполлон была первой, на которой появился луноход?
Спутник 1;Как назывался первый искусственный спутник, запущенный Советским Союзом в 1957 году?
АБ отрицательный;Какая самая редкая группа крови?
Кора, мантия и ядро;Земля состоит из трех слоев, которые различаются из-за разной температуры. Каковы его три слоя?
Земноводные;Лягушки относятся к какой группе животных?
Ноль!;Сколько костей в теле акулы?
Ухо;Где расположены самые маленькие кости в организме?
Три;Сколько сердец у осьминога?
Николай Коперник;Этот человек ответственен за изменение представлений древних людей о работе Солнечной системы. Он предположил, что Земля не является центром Вселенной, а Солнце находится в центре нашей Солнечной системы. Кто был он?
Александр Грэхем Белл;Кого считают изобретателем телефона?
Юпитер;Эта планета вращается быстрее всех, совершая полный оборот всего за 10 часов. Какая это планета?
ЛОЖЬ;Правда или ложь: в воздухе звук распространяется быстрее, чем в воде.
Алмазные.;Какое самое твердое природное вещество на Земле?
32;Сколько зубов у взрослого человека?
лайка;Это животное было первым в истории, запущенным в космос. Она была привязана к советскому космическому кораблю «Спутник-2», который был отправлен в космос 3 ноября 1957 года. Как ее звали?
Правда;Правда это или ложь: ваши волосы и ногти сделаны из одного и того же материала.
Валентина Терешкова;Кто был первой женщиной в космосе?
Форс-мажор;Какое научное слово означает толкать или тянуть?
Нижняя часть стопы;Где на теле человека больше всего потовых желез?
8 минут;Сколько примерно времени требуется солнечному свету, чтобы достичь Земли: 8 минут, 8 часов или 8 дней?
206. Воспользуйтесь функционалом;Сколько костей в теле человека?
Да;Может ли молния ударить по одному и тому же месту дважды?
пищеварение;Как называется процесс расщепления пищи?
Жёлтые;Какой цвет первым бросается в глаза?
Подъязычная кость;Какая единственная кость в организме человека не прикреплена к другой кости?
Сумеречный;Как называются животные, активные на рассвете и в сумерках?
-40.;При какой температуре градусы Цельсия и Фаренгейта равны?
Золото, серебро, платина и палладий;Какие четыре основных драгоценных металла?
Китай;Космических путешественников из США называют астронавтами. В России их называют космонавтами. Откуда тайконавты?
Подмышка;Какой частью человеческого тела является подмышечная впадина?
Горячая вода замерзает быстрее, чем холодная, что называется эффектом Мпембы.;Что замерзает быстрее, горячая или холодная вода?
Через пот, мочу и дыхание.;Как жир покидает ваше тело, когда вы худеете?
Височная доля;Эта часть мозга отвечает за слух и речь.
Тигры;Это животное джунглей, когда собирается в группу, называется засадой. Что это за животное?
Почка;Болезнь Брайта поражает какую часть тела?
синергистический;Эта связь между мышцами означает, что одна мышца помогает движению другой.
Гиппократ;Этот греческий врач первым стал вести записи историй болезни своих пациентов.
Red;Какой цвет имеет наибольшую длину волны в видимом спектре?
Серый лис;Это единственный вид собак, который может лазить по деревьям. Как это называется?
Блондинки.;У кого больше волосяных фолликулов, у блондинов или брюнеток?
ЛОЖЬ;Правда или ложь? Хамелеоны меняют цвет только для того, чтобы слиться с окружающей средой.
Головной мозг;Как называется самая большая часть человеческого мозга?
Марианская впадина;Как называется самая глубокая точка мирового океана?
Галапагосские острова;Какие острова были тщательно изучены Чарльзом Дарвином?
The Telegraph;Джозефу Генри приписали это изобретение в 1831 году, которое, как говорили, произвело революцию в способах общения людей того времени. Что же это было за изобретение?
Палеонтолог;Как называется человек, изучающий окаменелости и доисторическую жизнь, например динозавров?
Лайт;Какую форму энергии мы можем увидеть невооруженным глазом?